V1	V2	semantics
aah	00867440	communication
abacinate	02172822	perception
abandon	02232813	possession
abase	01803805	emotion
abash	01796126	emotion
abate	00246175	change
abbreviate	00244786	change
abdicate	02384340	social
abduce	01017875	communication
abduct	01473673	contact
aberrate	02668154	stative
abet	02554908	social
abhor	01778347	emotion
abide	02643286	stative
abide-by	02547977	social
abjure	00800379	communication
ablactate	01189491	consumption
ablate	00276265	change
abnegate	02217856	possession
abolish	02432181	social
abominate	01778347	emotion
abort	00354493	change
abound	02721154	stative
abound-in	02721798	stative
about-face	01913035	motion
abrade	01256577	contact
abrase	01256577	contact
abreact	01819438	emotion
abridge	00244786	change
abrogate	02484173	social
abscise	01257919	contact
abscond	02077642	motion
abseil	01927051	motion
absent	00422488	change
absolve	00905665	communication
absorb	01542421	contact
absquatulate	02077642	motion
abstain	02468849	social
abstract	00694095	cognition
abuse	02522260	social
abut	01469607	contact
aby	02526175	social
abye	02526175	social
accede	00879879	communication
accelerate	00439133	change
accent	01015376	communication
accentuate	01015376	communication
accept	00688348	cognition
access	02253616	possession
accession	01001613	communication
acclaim	00863389	communication
acclimate	00394379	change
acclimatise	00394379	change
acclimatize	00394379	change
accommodate	02708690	stative
accompany	02722040	stative
accomplish	01644397	creation
accord	02705946	stative
accost	00992687	communication
account	02613467	stative
account-for	02641114	stative
accouter	02347012	possession
accoutre	02347012	possession
accredit	02480958	social
accrete	00397231	change
accrue	00155677	change
acculturate	00159688	change
accumulate	02309962	possession
accurse	00866574	communication
accuse	00844668	communication
accustom	00274244	change
ace	02528247	social
acerbate	01777456	emotion
acetify	02201136	perception
acetylate	00525379	change
acetylise	00525379	change
acetylize	00525379	change
ache	02125976	perception
achieve	02531751	social
achromatise	00525610	change
achromatize	00525610	change
acid-wash	01540059	contact
acidify	02201136	perception
acidulate	02201136	perception
acknowledge	00818972	communication
acquaint	00902866	communication
acquiesce	00805801	communication
acquire	02215637	possession
acquit	00905999	communication
act	02372362	social
act-as	02677402	stative
act-involuntarily	00010234	body
act-on	02381520	social
act-out	01726522	creation
act-reflexively	00010234	body
act-superior	02599707	social
act-up	02523321	social
act-upon	02542223	social
action	02588127	social
activate	01647199	creation
actualise	01648288	creation
actualize	01648288	creation
actuate	01647199	creation
acuminate	00393929	change
ad-lib	01732719	creation
adapt	00300361	change
add	00182551	change
add-on	00183902	change
add-to	00157155	change
add-together	00951320	communication
add-up	02633444	stative
addict	01167606	consumption
addle	00622204	cognition
address	00899077	communication
adduce	01017875	communication
adduct	01451829	contact
adhere	02724053	stative
adjoin	01469607	contact
adjourn	00364950	change
adjudge	00824028	communication
adjudicate	02506927	social
adjure	00761702	communication
adjust	00296959	change
admeasure	02300043	possession
administer	02436818	social
administrate	02436818	social
admire	01831800	emotion
admit	00818972	communication
admix	00397609	change
admonish	00872241	communication
adolesce	00253596	change
adopt	02351891	possession
adore	01781734	emotion
adorn	01679858	creation
adsorb	01543020	contact
adulate	00882039	communication
adulterate	00488684	change
adumbrate	01008466	communication
advance	01996535	motion
advantage	02518934	social
advect	02106933	motion
adventure	02550045	social
advert	02174871	perception
advertise	00977934	communication
advertize	00978685	communication
advise	00874568	communication
advocate	00876672	communication
aerate	02117374	perception
aerify	00443222	change
aerosolise	01380605	contact
aerosolize	01380423	contact
aestivate	00016176	body
affect	00137133	change
affiance	00888123	communication
affiliate	02595401	social
affirm	00667804	cognition
affix	01359073	contact
afflict	01801741	emotion
afford	01195161	consumption
afforest	01570669	contact
affranchise	02482558	social
affright	01783082	emotion
affront	00850100	communication
age	00249398	change
agenise	00518445	change
agenize	00518445	change
agglomerate	01487340	contact
agglutinate	01224580	contact
aggrade	01310431	contact
aggrandise	00958437	communication
aggrandize	00958437	communication
aggravate	00208618	change
aggregate	02633636	stative
aggress	01120867	competition
aggrieve	02519545	social
aggroup	01092289	competition
agitate	02591135	social
agnise	00730579	cognition
agnize	00730579	cognition
agonise	01798534	emotion
agonize	01798534	emotion
agree	00807038	communication
aid	02553283	social
ail	00078418	body
aim	01153576	competition
air	02117374	perception
air-condition	02336571	possession
air-cool	02336322	possession
air-drop	01492516	contact
air-freight	01955018	motion
air-ship	01955018	motion
air-slake	00215220	change
air-out	02117374	perception
airbrush	01366023	contact
airfreight	01955018	motion
airlift	01454668	contact
airmail	01033999	communication
airt	01957193	motion
alarm	01786469	emotion
alchemise	00139406	change
alchemize	00139406	change
alcoholise	00139728	change
alcoholize	01179031	consumption
alert	00874096	communication
alibi	00895262	communication
alien	02225792	possession
alienate	01827478	emotion
alight	01982714	motion
align	00465234	change
aliment	01206811	consumption
aline	00465234	change
alkalify	00265980	change
alkalinise	00134706	change
alkalinize	00134706	change
alkalise	00265980	change
alkalize	00265980	change
allay	01819152	emotion
allege	01018011	communication
allegorise	00625935	cognition
allegorize	00625935	cognition
alleviate	00063866	body
alligator	00338510	change
alliterate	01706013	creation
allocate	02238869	possession
allot	02233480	possession
allow	02427979	social
allow-for	02727313	stative
allow-in	02508185	social
allowance	02260629	possession
alloy	00494453	change
allude	01028737	communication
allure	00795447	communication
ally	02435038	social
ally-with	02439584	social
alphabetise	00280009	change
alphabetize	00280009	change
alter	00126072	change
altercate	00777201	communication
alternate	00121314	change
aluminise	01340795	contact
aluminize	01340795	contact
amalgamate	01464634	contact
amass	00158612	change
amaze	00726794	cognition
ambition	01830002	emotion
amble	01922176	motion
ambulate	01915691	motion
ambuscade	01140630	competition
ambush	01140630	competition
ameliorate	00206293	change
amend	00998373	communication
amerce	02505914	social
americanise	00411331	change
americanize	00411331	change
ammoniate	00187292	change
ammonify	00498300	change
amnesty	00907630	communication
amortise	02357259	possession
amortize	02357259	possession
amount	02671069	stative
amplify	00435030	change
amputate	01257256	contact
amuse	02498011	social
anaesthetise	00021058	body
anaesthetize	00021058	body
anagram	00627155	cognition
anagrammatise	00627155	cognition
anagrammatize	00627155	cognition
analogise	00654954	cognition
analogize	00654954	cognition
analyse	00646245	cognition
analyze	00646245	cognition
anastomose	01294969	contact
anathematise	00866574	communication
anathematize	00866574	communication
anathemise	00867622	communication
anathemize	00867622	communication
anatomise	01553376	contact
anatomize	01553376	contact
anchor	01307604	contact
ancylose	00096150	body
anele	00085379	body
anesthetise	00021058	body
anesthetize	00021058	body
anger	01789790	emotion
angle	02048815	motion
angle-park	01938590	motion
anglicise	00301098	change
anglicize	00301098	change
anguish	01798980	emotion
angulate	00574534	change
animadvert	01029677	communication
animalise	01684651	creation
animalize	01684651	creation
animate	01816687	emotion
animise	00549075	change
animize	00549075	change
ankylose	00096150	body
anneal	00303837	change
annex	02220137	possession
annihilate	00471632	change
annotate	01708812	creation
announce	00976399	communication
annoy	01791774	emotion
annul	02483482	social
annunciate	00976205	communication
anodise	00136375	change
anodize	00136375	change
anoint	00677331	cognition
answer	00817348	communication
answer-for	00869308	communication
antagonise	02570756	social
antagonize	01811281	emotion
ante	01141806	competition
ante-up	02257739	possession
antecede	02718318	stative
antedate	02718318	stative
anthologise	01629742	creation
anthologize	01629742	creation
anthropomorphise	00729371	cognition
anthropomorphize	00729371	cognition
antic	00105532	body
anticipate	00721658	cognition
antiquate	00254550	change
antique	02331791	possession
antisepticize	00062545	body
ape	02680878	stative
aphorise	00743880	communication
aphorize	00743880	communication
apologise	00896259	communication
apologize	00894444	communication
apostatise	00759901	communication
apostatize	00759901	communication
apostrophise	00995799	communication
apostrophize	00995799	communication
apotheose	00695399	cognition
apotheosise	00695399	cognition
apotheosize	00695399	cognition
appal	01814414	emotion
appall	01814414	emotion
apparel	00047662	body
appeal	02503235	social
appear	02137900	perception
appease	01769244	emotion
append	01331387	contact
apperceive	02111551	perception
appertain	02659801	stative
applaud	00863593	communication
applique	01674672	creation
apply	01161188	consumption
appoint	02401347	social
apportion	02238869	possession
appose	01502853	contact
appraise	00683348	cognition
appreciate	01809949	emotion
apprehend	00589616	cognition
apprentice	00604030	cognition
apprise	00875364	communication
apprize	00875364	communication
approach	02057865	motion
approbate	00805477	communication
appropriate	00726112	cognition
approve	00808164	communication
approximate	02672137	stative
aquaplane	01960371	motion
aquatint	01754476	creation
arbitrage	02265766	possession
arbitrate	00763001	communication
arborise	00330305	change
arborize	00330305	change
arc	02038831	motion
arch	02038831	motion
arch-over	02039160	motion
archaise	00523148	change
archaize	00523148	change
archive	01387292	contact
argue	00774234	communication
argufy	00777201	communication
arise	02630344	stative
arm	01089608	competition
armor	02346680	possession
armour	02346680	possession
aromatise	02130847	perception
aromatize	02130847	perception
arouse	01763170	emotion
arraign	02503641	social
arrange	01466592	contact
array	01476839	contact
arrest	01217701	contact
arrive	02009962	motion
arrive-at	02024442	motion
arrogate	02280210	possession
arse-about	02645690	stative
arse-around	02645690	stative
arterialise	00119903	change
arterialize	00119903	change
article	00886603	communication
articulate	02359283	possession
ascend	01973223	motion
ascertain	00920843	communication
ascribe	00728262	cognition
ash	00384108	change
ask	00754499	communication
ask-for	01763987	emotion
ask-for-it	00351702	change
ask-for-trouble	00351702	change
ask-in	01472399	contact
ask-out	02492311	social
ask-over	02389828	social
ask-round	02389828	social
asperse	00848188	communication
asphalt	01270430	contact
asphyxiate	01572009	contact
aspirate	01543481	contact
aspire	00707283	cognition
assail	01122487	competition
assassinate	02488589	social
assault	01122487	competition
assay	00696740	cognition
assemble	01660471	creation
assent	00805801	communication
assert	01018787	communication
assert-oneself	02524721	social
assess	00683348	cognition
asseverate	01018787	communication
assibilate	01055899	communication
assign	02396945	social
assimilate	00603650	cognition
assist	02553283	social
associate	00715072	cognition
assoil	00905999	communication
assonate	02756517	stative
assort	02595401	social
assuage	01769244	emotion
assume	00633898	cognition
assure	00892111	communication
asterisk	00511950	change
astonish	00726794	cognition
astound	00726794	cognition
astringe	01391040	contact
astrogate	01937737	motion
atom-bomb	01135406	competition
atomise	01375803	contact
atomize	01375803	contact
atone	02526175	social
atrophy	00093733	body
attach	01299048	contact
attach-to	02722040	stative
attack	01121587	competition
attain	02531751	social
attaint	02552922	social
attemper	00170189	change
attempt	02535833	social
attend	02618797	stative
attend-to	00618360	cognition
attenuate	00226805	change
attest	00822637	communication
attire	00043880	body
attitudinise	02525160	social
attitudinize	02525160	social
attorn	00594595	cognition
attract	01507886	contact
attribute	00728262	cognition
attune	00298561	change
auction	02249555	possession
auction-off	02249555	possession
auctioneer	02249555	possession
audit	00698828	cognition
audition	01722394	creation
augment	00154196	change
augur	00873606	communication
aurify	00383081	change
auscultate	02154622	perception
auspicate	00873606	communication
authenticate	00666194	cognition
author	01708311	creation
authorise	02479404	social
authorize	00804987	communication
autoclave	00062744	body
autograph	00999178	communication
automate	00480863	change
automatise	00481152	change
automatize	00481152	change
automobile	01934709	motion
autopsy	02154469	perception
autotomise	01516622	contact
autotomize	01516622	contact
avail	01163877	consumption
avalanche	01970713	motion
avenge	01155952	competition
aver	01018011	communication
average	02651473	stative
average-out	00641660	cognition
avert	02458770	social
avianise	00123882	change
avianize	00123882	change
aviate	01944952	motion
avoid	00813037	communication
avouch	00821584	communication
avow	01013058	communication
avulse	02035962	motion
await	00721987	cognition
awake	00018519	body
awaken	00018806	body
award	02266695	possession
awe	01783561	emotion
ax	01260517	contact
axe	01260517	contact
azure	00285718	change
baa	01050202	communication
babbitt	01274913	contact
babble	01067652	communication
babble-out	00939238	communication
baby	02576182	social
baby-sit	02608895	social
babysit	02608895	social
bach	02622171	stative
bachelor	02622171	stative
back	02459338	social
back-away	00801045	communication
back-down	02001712	motion
back-off	02001712	motion
back-out	02001408	motion
back-up	02561834	social
backbite	00909610	communication
backcross	01432458	contact
backdate	02567761	social
backfire	02384041	social
background	00514573	change
backhand	01407318	contact
backlash	02384041	social
backlog	00159044	change
backpack	01929984	motion
backpedal	01939812	motion
backscatter	00331561	change
backslap	02379663	social
backslide	00204947	change
backspace	01007418	communication
backstitch	01333249	contact
backstop	01078523	competition
backstroke	01966382	motion
backtrack	02008542	motion
bacterise	00138180	change
bacterize	00138180	change
badge	01592790	contact
badger	01807344	emotion
badmouth	00849849	communication
baffle	00624056	cognition
bag	01482504	contact
bail	02426849	social
bail-out	02499908	social
bait	00852181	communication
bake	00320687	change
balance	02678923	stative
bald	00125951	change
bale	01388854	contact
bale-out	00450381	change
balk	02589630	social
balkanise	02475134	social
balkanize	02475134	social
ball	01526058	contact
ball-over	01813031	emotion
ball-up	02533317	social
ballast	00272202	change
balloon	01952518	motion
ballot	02468564	social
ballyhoo	00978397	communication
ballyrag	01785339	emotion
bamboozle	00840873	communication
ban	02499315	social
band	01307002	contact
band-oneself	02434925	social
